역사명,노선명,역위도,역경도
감삼,대구 도시철도 2호선,35.8543251,128.5439011
강창,대구 도시철도 2호선,35.8531116,128.4789997
경대병원,대구 도시철도 2호선,35.863302,128.60336
계명대,대구 도시철도 2호선,35.85146491,128.491969
고산,대구 도시철도 2호선,35.84,128.69
내당,대구 도시철도 2호선,35.860194,128.564593
다사,대구 도시철도 2호선,35.86495301,128.4582876
담티(수성대·대륜),대구 도시철도 2호선,35.85,128.65
대구은행(대구교육청),대구 도시철도 2호선,35.85996896,128.6137597
대실,대구 도시철도 2호선,35.8573333,128.4656264
두류,대구 도시철도 2호선,35.8572405,128.551509
만촌,대구 도시철도 2호선,35.85,128.64
문양,대구 도시철도 2호선,35.86414313,128.4370043
반고개,대구 도시철도 2호선,35.8623,128.5691714
반월당,대구 도시철도 2호선,35.864592,128.593334
범어,대구 도시철도 2호선,35.8591,128.6257
사월,대구 도시철도 2호선,35.836566,128.715173
성서산업단지,대구 도시철도 2호선,35.8518236,128.5021662
수성구청(KBS),대구 도시철도 2호선,35.85874022,128.6359517
수성알파시티(삼성라이온즈파크),대구 도시철도 2호선,35.85,128.67
신매,대구 도시철도 2호선,35.84,128.7
연호,대구 도시철도 2호선,35.85,128.67
영남대,대구 도시철도 2호선,35.836373,128.752966
용산(서부법원?검찰청입구),대구 도시철도 2호선,35.8142587,128.5407738
이곡,대구 도시철도 2호선,35.85062003,128.5157686
임당,대구 도시철도 2호선,35.834131,128.741076
정평,대구 도시철도 2호선,35.83407,128.728695
죽전,대구 도시철도 2호선,35.85057553,128.5369391
청라언덕,대구 도시철도 2호선,35.8650508,128.5787271
